总笔数:10|总金额:10776.26|总份额:7914.46
销售机构订单号|申请单编号|交易账号|基金代码|机构代码|业务类型|交易时间|申请份额|申请金额|个人/机构标识
20250813102856000001|2025081310285601|76950647991594577|220515|888|024|20250813102856|1781.03||1
20250811212314000002|2025081121231402|28098924015350423|220515|888|022|20250811212314||108.32|0
20250823001127000003|2025082300112703|96240955959473984|220515|888|024|20250823001127|1359.56||0
20250801054503000004|2025080105450304|75419815053523688|220515|888|022|20250801054503||2687.38|0
20250813130532000005|2025081313053205|84743849961390198|220515|888|024|20250813130532|3846.38||0
20250821124121000006|2025082112412106|13232557588933103|220515|888|022|20250821124121||1992.97|0
20250808173857000007|2025080817385707|41366246352632040|220515|888|022|20250808173857||1626.75|0
20250731200421000008|2025073120042108|66353136784718515|220515|888|022|20250731200421||1506.78|1
20250814204334000009|2025081420433409|93827189437495048|220515|888|024|20250814204334|927.49||0
20250822215738000010|2025082221573810|78758031352391428|220515|888|022|20250822215738||2854.06|1
